Company,Job title,Location,Graduation year,Degree,Branch,Experience requirement,Skills,Job description
Hero MotoCorp,Manual Tester,Mumbai,2021,MCA,Computer Science,0-2 Years,"Automation Testing, Manual Testing, JIRA, JUnit, API Testing","Hero MotoCorp is hiring a Manual Tester for its Mumbai office. The role calls for a MCA in Computer Science and hands-on knowledge of Automation Testing, Manual Testing, JIRA, JUnit, API Testing. Experience required: 0-2 Years."
Vishal Mega Mart,Investment Analyst,Gurgaon,2020,CA,Accounting,10+ Years,"Taxation, Financial Reporting, Budgeting, GST, Excel","Vishal Mega Mart is expanding its Gurgaon team and seeking a Investment Analyst. A CA in Accounting is required along with working knowledge of Taxation, Financial Reporting, Budgeting, GST, Excel. Experience: 10+ Years."
ICICI Prudential,System Engineer,Thiruvananthapuram,2026,B.E.,Information Technology,5-7 Years,"Linux, Firewalls, TCP/IP, Cybersecurity, Networking","ICICI Prudential is expanding its Thiruvananthapuram team and seeking a System Engineer. A B.E. in Information Technology is required along with working knowledge of Linux, Firewalls, TCP/IP, Cybersecurity, Networking. Experience: 5-7 Years."
Asian Paints,Electrical Engineer,Mumbai,2021,B.E.,Electrical and Electronics,3-5 Years,"PCB Design, Circuit Design, PLC","Exciting opportunity for a Electrical Engineer at Asian Paints (Mumbai). Applicants must be B.E. graduates in Electrical and Electronics, comfortable with PCB Design, Circuit Design, PLC, and have 3-5 Years of industry experience."
Apollo Hospitals,Finance Analyst,Ahmedabad,2021,MBA,Finance,0-1 Years,"Tally, Excel, Financial Modeling, Budgeting, Auditing","Apollo Hospitals is expanding its Ahmedabad team and seeking a Finance Analyst. A MBA in Finance is required along with working knowledge of Tally, Excel, Financial Modeling, Budgeting, Auditing. Experience: 0-1 Years."
ONGC,Business Development Executive,Mangalore,2025,BBA,Marketing,0-1 Years,"Content Marketing, CRM, Salesforce, Social Media Marketing","ONGC is hiring a Business Development Executive for its Mangalore office. The role calls for a BBA in Marketing and hands-on knowledge of Content Marketing, CRM, Salesforce, Social Media Marketing. Experience required: 0-1 Years."
Paytm Money,Manual Tester,Vadodara,2016,B.E.,Information Technology,0-1 Years,"API Testing, Selenium, Automation Testing, JUnit, TestNG","Paytm Money is hiring a Manual Tester for its Vadodara office. The role calls for a B.E. in Information Technology and hands-on knowledge of API Testing, Selenium, Automation Testing, JUnit, TestNG. Experience required: 0-1 Years."
Adobe India,Chemical Engineer,Surat,2021,B.Tech,Chemical Engineering,3-5 Years,"Quality Control, Plant Operations, Six Sigma, Process Optimization","Join Adobe India as a Chemical Engineer in Surat! We need someone with a B.Tech in Chemical Engineering, strong command of Quality Control, Plant Operations, Six Sigma, Process Optimization, and 3-5 Years of relevant experience."
Nykaa,Technical Writer,Kolkata,2025,BCA,Fine Arts,5-8 Years,"Illustrator, SEO Writing, Figma, Wireframing","Nykaa has an opening for a Technical Writer based in Kolkata. The ideal candidate is a BCA graduate in Fine Arts with proficiency in Illustrator, SEO Writing, Figma, Wireframing. Required experience: 5-8 Years."
Adani Green Energy,Mobile App Developer,Hyderabad,2018,BCA,Electronics and Communication,1-2 Years,"Python, REST APIs, HTML/CSS","Exciting opportunity for a Mobile App Developer at Adani Green Energy (Hyderabad). Applicants must be BCA graduates in Electronics and Communication, comfortable with Python, REST APIs, HTML/CSS, and have 1-2 Years of industry experience."
Urban Company,Mechanical Engineer,Hyderabad,2022,Diploma,Industrial Engineering,10+ Years,"CNC Programming, Six Sigma, Ansys","Join Urban Company as a Mechanical Engineer in Hyderabad! We need someone with a Diploma in Industrial Engineering, strong command of CNC Programming, Six Sigma, Ansys, and 10+ Years of relevant experience."
Birlasoft,Civil Engineer,Lucknow,2018,Diploma,Civil Engineering,4-6 Years,"AutoCAD, Estimation & Costing, Project Management, Surveying, Site Supervision","Exciting opportunity for a Civil Engineer at Birlasoft (Lucknow). Applicants must be Diploma graduates in Civil Engineering, comfortable with AutoCAD, Estimation & Costing, Project Management, Surveying, Site Supervision, and have 4-6 Years of industry experience."
Mindtree,Team Lead - Operations,Hinjewadi Pune,2026,B.Com,Commerce,2-4 Years,"CRM Tools, Communication, Customer Service","Mindtree is hiring a Team Lead - Operations for its Hinjewadi Pune office. The role calls for a B.Com in Commerce and hands-on knowledge of CRM Tools, Communication, Customer Service. Experience required: 2-4 Years."
Britannia Industries,Content Writer,Nashik,2025,MBA,Fine Arts,Fresher,"Wireframing, Illustrator, Figma","Britannia Industries has an opening for a Content Writer based in Nashik. The ideal candidate is a MBA graduate in Fine Arts with proficiency in Wireframing, Illustrator, Figma. Required experience: Fresher."
Nestle India,QA Engineer,Ranchi,2026,MCA,Computer Science,10+ Years,"JIRA, Load Testing, Postman, API Testing, JUnit","Nestle India is hiring a QA Engineer for its Ranchi office. The role calls for a MCA in Computer Science and hands-on knowledge of JIRA, Load Testing, Postman, API Testing, JUnit. Experience required: 10+ Years."
Godrej Consumer Products,SDET,Chennai,2025,MCA,Information Technology,5-7 Years,"Selenium, Test Case Design, JIRA, TestNG","Godrej Consumer Products is expanding its Chennai team and seeking a SDET. A MCA in Information Technology is required along with working knowledge of Selenium, Test Case Design, JIRA, TestNG. Experience: 5-7 Years."
Zomato,Area Sales Manager,Multiple Locations,2024,MBA,Sales,1-2 Years,"Market Research, Negotiation, Content Marketing","Exciting opportunity for a Area Sales Manager at Zomato (Multiple Locations). Applicants must be MBA graduates in Sales, comfortable with Market Research, Negotiation, Content Marketing, and have 1-2 Years of industry experience."
IndusInd Bank,Credit Analyst,Jaipur,2023,CMA,Accounting,2-3 Years,"GST, Budgeting, Financial Reporting, Taxation, Auditing","Join IndusInd Bank as a Credit Analyst in Jaipur! We need someone with a CMA in Accounting, strong command of GST, Budgeting, Financial Reporting, Taxation, Auditing, and 2-3 Years of relevant experience."
Shiprocket,Quality Engineer,Visakhapatnam,2016,Diploma,Automobile Engineering,10+ Years,"PLM, Lean Manufacturing, SolidWorks","Shiprocket has an opening for a Quality Engineer based in Visakhapatnam. The ideal candidate is a Diploma graduate in Automobile Engineering with proficiency in PLM, Lean Manufacturing, SolidWorks. Required experience: 10+ Years."
Tech Mahindra,VLSI Design Engineer,Noida,2019,M.Tech,Instrumentation Engineering,10+ Years,"PCB Design, Power Systems, Microcontrollers","We are looking for a passionate VLSI Design Engineer to join Tech Mahindra in Noida. Candidates should hold a M.Tech (Instrumentation Engineering) and be skilled in PCB Design, Power Systems, Microcontrollers. Experience level: 10+ Years."
ABB India,Cybersecurity Analyst,Vadodara,2023,B.Tech,Computer Science,8-12 Years,"Network Security, Networking, TCP/IP, CCNA, Windows Server","We are looking for a passionate Cybersecurity Analyst to join ABB India in Vadodara. Candidates should hold a B.Tech (Computer Science) and be skilled in Network Security, Networking, TCP/IP, CCNA, Windows Server. Experience level: 8-12 Years."
24/7 Customer,Client Servicing Executive,Nashik,2020,B.Com,Management,5-7 Years,"Email Etiquette, Communication, MS Office, Customer Service, Time Management","Join 24/7 Customer as a Client Servicing Executive in Nashik! We need someone with a B.Com in Management, strong command of Email Etiquette, Communication, MS Office, Customer Service, Time Management, and 5-7 Years of relevant experience."
Groww,Plant Engineer,Coimbatore,2026,B.Tech,Petrochemical Engineering,8-12 Years,"Quality Control, Process Design, Plant Operations","Groww is expanding its Coimbatore team and seeking a Plant Engineer. A B.Tech in Petrochemical Engineering is required along with working knowledge of Quality Control, Process Design, Plant Operations. Experience: 8-12 Years."
Divi's Laboratories,Brand Manager,Delhi NCR,2019,BBA,Marketing Management,0-1 Years,"Lead Generation, SEM, CRM, SEO, Content Marketing","Exciting opportunity for a Brand Manager at Divi's Laboratories (Delhi NCR). Applicants must be BBA graduates in Marketing Management, comfortable with Lead Generation, SEM, CRM, SEO, Content Marketing, and have 0-1 Years of industry experience."
Tejas Networks,Business Intelligence Analyst,Hyderabad,2016,MCA,Data Science,1-3 Years,"Tableau, Python, Deep Learning, PyTorch","Exciting opportunity for a Business Intelligence Analyst at Tejas Networks (Hyderabad). Applicants must be MCA graduates in Data Science, comfortable with Tableau, Python, Deep Learning, PyTorch, and have 1-3 Years of industry experience."
Coforge,Embedded Systems Engineer,Mangalore,2026,M.Tech,Electrical Engineering,8-12 Years,"SCADA, Circuit Design, PLC, VLSI Design, Microcontrollers","Coforge is expanding its Mangalore team and seeking a Embedded Systems Engineer. A M.Tech in Electrical Engineering is required along with working knowledge of SCADA, Circuit Design, PLC, VLSI Design, Microcontrollers. Experience: 8-12 Years."
Zepto,Electronics Engineer,Mumbai,2025,Diploma,Electrical Engineering,5-8 Years,"PCB Design, PLC, Power Systems","Zepto is expanding its Mumbai team and seeking a Electronics Engineer. A Diploma in Electrical Engineering is required along with working knowledge of PCB Design, PLC, Power Systems. Experience: 5-8 Years."
Lenskart,Associate Product Manager,Guwahati,2024,PGDM,Computer Science,0-1 Years,"Scrum, SQL, Agile, Product Roadmap","Join Lenskart as a Associate Product Manager in Guwahati! We need someone with a PGDM in Computer Science, strong command of Scrum, SQL, Agile, Product Roadmap, and 0-1 Years of relevant experience."
ONGC,Technical Writer,Ranchi,2026,B.A.,Design,0-2 Years,"SEO Writing, Adobe XD, Figma, Content Writing, Sketch","ONGC is hiring a Technical Writer for its Ranchi office. The role calls for a B.A. in Design and hands-on knowledge of SEO Writing, Adobe XD, Figma, Content Writing, Sketch. Experience required: 0-2 Years."
Practo Technologies,Business Analyst,Ahmedabad,2020,B.Tech,Information Technology,5-8 Years,"Scrum, Stakeholder Management, Agile","Exciting opportunity for a Business Analyst at Practo Technologies (Ahmedabad). Applicants must be B.Tech graduates in Information Technology, comfortable with Scrum, Stakeholder Management, Agile, and have 5-8 Years of industry experience."
Zoho Corporation,Cloud Architect,Lucknow,2016,M.Tech,Information Technology,Fresher,"AWS, Docker, Azure","Zoho Corporation has an opening for a Cloud Architect based in Lucknow. The ideal candidate is a M.Tech graduate in Information Technology with proficiency in AWS, Docker, Azure. Required experience: Fresher."
Samsung R&D Institute India,NLP Engineer,Remote,2024,B.Tech,Information Technology,5-7 Years,"SQL, Statistics, Big Data, Power BI","Samsung R&D Institute India has an opening for a NLP Engineer based in Remote. The ideal candidate is a B.Tech graduate in Information Technology with proficiency in SQL, Statistics, Big Data, Power BI. Required experience: 5-7 Years."
Punjab National Bank,Automation Test Engineer,Gurgaon,2025,B.E.,Information Technology,1-3 Years,"API Testing, Test Case Design, Manual Testing, JUnit, TestNG","Punjab National Bank is hiring a Automation Test Engineer for its Gurgaon office. The role calls for a B.E. in Information Technology and hands-on knowledge of API Testing, Test Case Design, Manual Testing, JUnit, TestNG. Experience required: 1-3 Years."
Wipro,SDET,Kolkata,2022,B.Tech,Computer Science,1-2 Years,"Automation Testing, TestNG, Test Case Design","Join Wipro as a SDET in Kolkata! We need someone with a B.Tech in Computer Science, strong command of Automation Testing, TestNG, Test Case Design, and 1-2 Years of relevant experience."
Biocon,Team Lead - Operations,Thiruvananthapuram,2025,B.A.,General,1-3 Years,"MS Office, Customer Service, Problem Solving, Email Etiquette, Communication","Biocon is expanding its Thiruvananthapuram team and seeking a Team Lead - Operations. A B.A. in General is required along with working knowledge of MS Office, Customer Service, Problem Solving, Email Etiquette, Communication. Experience: 1-3 Years."
Punjab National Bank,Infrastructure Engineer,Indore,2020,M.Tech,Information Technology,1-3 Years,"GCP, Azure, Docker, AWS, Linux","Punjab National Bank is hiring a Infrastructure Engineer for its Indore office. The role calls for a M.Tech in Information Technology and hands-on knowledge of GCP, Azure, Docker, AWS, Linux. Experience required: 1-3 Years."
Cisco India,HR Generalist,Multiple Locations,2020,BBA,General Management,8-12 Years,"Performance Management, Onboarding, HR Policies","Cisco India is expanding its Multiple Locations team and seeking a HR Generalist. A BBA in General Management is required along with working knowledge of Performance Management, Onboarding, HR Policies. Experience: 8-12 Years."
PhonePe,Product Owner,Jaipur,2023,B.Tech,General Management,2-3 Years,"Market Analysis, Agile, Scrum","Join PhonePe as a Product Owner in Jaipur! We need someone with a B.Tech in General Management, strong command of Market Analysis, Agile, Scrum, and 2-3 Years of relevant experience."
